21	79	2
21	109	3
21	140	4
21	141	2
21	145	3
21	255	2
21	283	2
21	285	5
21	292	3
21	307	4
21	309	4
21	320	1
21	412	2
21	469	1
21	500	4
21	514	2
21	569	2
21	585	1
37	60	1
37	71	3
37	79	1
37	109	1
37	258	3
37	285	6
37	320	3
37	412	3
37	427	5
37	469	3
37	483	3
37	509	4
37	514	1
37	530	7
37	569	2
37	585	1
37	611	1
37	660	1
37	746	3
60	283	1
60	285	1
60	292	1
60	320	3
60	412	1
60	427	1
60	452	1
60	483	1
60	509	3
60	530	1
60	569	1
60	585	1
71	79	1
71	214	1
71	285	5
71	320	3
71	412	2
71	427	5
71	469	1
71	500	2
71	509	3
71	514	1
71	530	9
71	569	1
71	660	2
71	746	4
79	109	1
79	140	3
79	141	3
79	145	4
79	255	3
79	283	3
79	285	6
79	292	1
79	307	3
79	309	3
79	320	2
79	412	1
79	452	1
79	469	1
79	500	4
79	514	1
79	530	2
79	569	3
79	585	2
109	140	3
109	141	3
109	145	2
109	255	1
109	283	1
109	285	4
109	292	4
109	307	3
109	309	3
109	320	1
109	412	2
109	469	2
109	483	1
109	500	4
109	514	3
109	569	3
140	141	5
140	145	5
140	255	4
140	283	4
140	285	6
140	292	3
140	307	7
140	309	7
140	469	1
140	500	5
140	514	2
140	569	4
140	585	3
141	145	4
141	255	3
141	283	3
141	285	5
141	292	3
141	307	5
141	309	5
141	469	1
141	500	5
141	514	2
141	569	4
141	585	2
145	255	4
145	283	4
145	285	6
145	292	2
145	307	5
145	309	5
145	320	1
145	452	1
145	500	4
145	514	2
145	530	1
145	569	3
145	585	2
214	258	1
214	285	2
214	292	1
214	320	1
214	412	3
214	427	4
214	469	1
214	500	1
214	509	3
214	514	1
214	522	2
214	530	4
214	611	1
214	660	3
214	746	5
214	750	1
255	283	5
255	285	6
255	292	1
255	307	4
255	309	4
255	427	1
255	500	3
255	514	2
255	569	3
255	585	3
258	285	5
258	320	3
258	412	3
258	427	5
258	469	1
258	483	1
258	509	5
258	522	2
258	530	4
258	746	3
283	285	7
283	292	3
283	307	4
283	309	4
283	320	2
283	412	1
283	427	1
283	469	1
283	500	5
283	509	1
283	514	2
283	530	1
283	569	2
283	585	2
285	292	7
285	307	6
285	309	6
285	320	9
285	412	7
285	427	9
285	452	1
285	469	3
285	483	1
285	500	9
285	509	6
285	514	3
285	522	3
285	530	11
285	569	6
285	585	3
285	746	5
292	307	3
292	309	3
292	320	3
292	412	3
292	427	1
292	469	1
292	500	5
292	509	1
292	514	2
292	522	1
292	530	1
292	569	3
292	746	1
307	309	7
307	469	1
307	500	5
307	514	2
307	569	4
307	585	3
309	469	1
309	500	5
309	514	2
309	569	4
309	585	3
318	412	3
318	452	1
318	514	2
318	596	3
318	611	3
318	660	1
318	724	1
318	750	2
320	412	4
320	427	6
320	452	2
320	483	1
320	500	2
320	509	8
320	514	1
320	522	2
320	530	9
320	569	2
320	660	1
320	746	4
412	427	6
412	469	2
412	483	3
412	500	3
412	509	6
412	514	4
412	522	3
412	530	6
412	569	2
412	585	1
412	596	2
412	611	2
412	660	2
412	724	1
412	746	6
412	750	2
427	469	1
427	483	1
427	500	1
427	509	9
427	514	3
427	522	5
427	530	10
427	660	3
427	746	10
452	509	1
452	514	1
452	530	2
452	596	1
452	611	2
452	724	2
452	750	1
469	483	1
469	500	4
469	509	2
469	514	1
469	530	3
469	569	1
469	611	2
469	660	2
469	746	2
469	750	1
483	509	1
483	514	1
483	530	1
483	569	1
483	585	1
500	514	2
500	522	1
500	530	1
500	569	5
500	585	2
500	746	1
509	514	1
509	522	2
509	530	11
509	611	1
509	660	3
509	746	8
514	522	1
514	530	3
514	569	1
514	596	1
514	611	1
514	660	4
514	724	3
514	746	4
514	750	3
522	530	1
522	746	4
530	569	1
530	611	2
530	660	6
530	746	11
530	750	1
569	585	3
596	611	3
596	724	1
611	660	3
611	724	1
611	746	2
611	750	1
660	724	1
660	746	7
660	750	3
724	750	1
746	750	1
