10	42	4
10	94	5
10	126	1
10	141	1
10	261	1
10	296	1
10	308	1
10	313	3
10	327	2
10	348	8
10	374	3
10	390	1
10	454	9
10	474	3
10	511	2
10	567	4
10	576	7
10	649	4
10	675	1
10	768	1
10	775	3
10	776	6
10	842	1
10	870	2
10	893	2
10	896	3
10	898	1
42	94	9
42	126	12
42	141	14
42	142	10
42	252	7
42	261	7
42	293	21
42	296	8
42	308	6
42	313	10
42	327	10
42	348	10
42	374	8
42	390	7
42	454	29
42	474	7
42	511	13
42	512	9
42	524	8
42	556	7
42	567	5
42	576	4
42	649	26
42	675	10
42	698	13
42	709	11
42	768	10
42	775	9
42	776	15
42	842	7
42	870	9
42	893	3
42	896	17
42	898	9
42	903	10
42	960	11
42	993	8
94	126	1
94	141	1
94	142	1
94	252	1
94	261	2
94	293	2
94	308	3
94	313	4
94	327	4
94	348	6
94	374	5
94	390	2
94	454	9
94	474	2
94	511	3
94	512	1
94	567	5
94	576	5
94	649	4
94	675	2
94	698	3
94	709	1
94	775	3
94	776	6
94	842	1
94	870	2
94	893	1
94	896	4
94	898	2
94	903	1
94	960	1
94	993	2
126	141	12
126	142	8
126	261	1
126	293	3
126	296	7
126	308	1
126	313	3
126	327	2
126	348	2
126	454	2
126	474	1
126	511	1
126	512	1
126	524	1
126	556	5
126	649	8
126	675	5
126	698	4
126	709	1
126	768	7
126	775	2
126	776	4
126	842	1
126	870	1
126	896	3
126	898	4
126	903	5
126	960	8
126	993	1
141	142	10
141	261	1
141	293	3
141	296	9
141	308	1
141	313	3
141	327	2
141	348	3
141	390	2
141	454	2
141	474	1
141	511	1
141	512	2
141	524	2
141	556	6
141	567	1
141	576	1
141	649	9
141	675	7
141	698	5
141	709	3
141	768	9
141	775	2
141	776	5
141	842	1
141	870	1
141	896	5
141	898	5
141	903	8
141	960	9
141	993	1
142	261	1
142	293	2
142	296	5
142	308	1
142	313	3
142	327	2
142	348	2
142	390	2
142	454	2
142	474	1
142	511	1
142	512	1
142	524	1
142	556	3
142	649	6
142	675	6
142	698	4
142	709	2
142	768	6
142	775	1
142	776	3
142	896	4
142	898	4
142	903	7
142	960	8
252	261	5
252	293	4
252	308	1
252	327	2
252	348	3
252	390	2
252	454	6
252	474	1
252	512	1
252	524	2
252	576	1
252	649	4
252	675	2
252	698	1
252	709	2
252	775	1
252	776	2
252	842	1
252	870	2
252	893	2
252	993	3
261	293	3
261	308	1
261	313	1
261	327	3
261	348	4
261	374	1
261	390	1
261	454	6
261	474	2
261	512	1
261	524	3
261	567	1
261	576	1
261	649	5
261	675	2
261	698	1
261	709	1
261	775	3
261	776	3
261	842	1
261	870	1
261	893	1
261	896	2
261	898	1
261	903	1
261	960	1
261	993	2
293	308	2
293	313	3
293	327	3
293	348	2
293	374	4
293	390	1
293	454	13
293	474	2
293	511	6
293	512	5
293	524	4
293	556	1
293	567	2
293	576	2
293	649	8
293	675	3
293	698	6
293	709	4
293	768	3
293	775	4
293	776	4
293	842	4
293	870	3
293	893	1
293	896	5
293	898	4
293	903	3
293	960	3
293	993	4
296	308	1
296	313	2
296	327	2
296	348	3
296	454	1
296	474	1
296	511	1
296	524	2
296	556	5
296	567	1
296	576	1
296	649	8
296	675	3
296	698	1
296	768	5
296	775	1
296	776	4
296	896	3
296	898	3
296	903	5
296	960	7
296	993	1
308	313	1
308	327	2
308	348	4
308	374	2
308	390	2
308	454	5
308	474	1
308	511	4
308	512	1
308	524	2
308	556	1
308	567	1
308	576	2
308	649	5
308	675	1
308	698	1
308	709	1
308	775	1
308	776	1
308	842	2
308	870	1
308	896	3
308	898	1
308	903	2
308	960	1
308	993	1
313	327	3
313	348	5
313	374	2
313	390	2
313	454	7
313	474	3
313	511	4
313	512	1
313	524	2
313	556	1
313	567	2
313	576	4
313	649	7
313	675	2
313	698	3
313	709	1
313	768	1
313	775	4
313	776	9
313	870	2
313	893	1
313	896	5
313	898	3
313	903	1
313	960	4
327	348	5
327	374	2
327	390	3
327	454	10
327	474	4
327	511	5
327	512	2
327	524	4
327	556	1
327	576	1
327	649	5
327	675	3
327	698	1
327	709	2
327	775	2
327	776	5
327	842	1
327	870	2
327	893	1
327	896	5
327	898	3
327	903	1
327	960	3
327	993	1
348	374	3
348	390	2
348	454	11
348	474	4
348	511	4
348	524	1
348	556	2
348	567	4
348	576	11
348	649	9
348	675	3
348	698	1
348	709	3
348	768	1
348	775	5
348	776	10
348	842	2
348	870	2
348	893	2
348	896	5
348	898	3
348	903	3
348	960	3
348	993	1
374	390	1
374	454	8
374	474	2
374	511	5
374	512	3
374	524	3
374	567	2
374	576	2
374	649	5
374	698	3
374	709	2
374	775	4
374	776	6
374	842	2
374	870	1
374	896	7
374	898	1
374	903	2
374	960	1
374	993	1
390	454	4
390	474	1
390	511	1
390	512	3
390	524	1
390	576	1
390	649	2
390	675	4
390	698	3
390	709	3
390	768	2
390	775	3
390	776	4
390	870	2
390	893	2
390	896	4
390	903	3
390	993	1
454	474	9
454	511	9
454	512	5
454	524	7
454	556	2
454	567	8
454	576	7
454	649	17
454	675	5
454	698	5
454	709	3
454	768	1
454	775	9
454	776	13
454	842	5
454	870	7
454	893	4
454	896	13
454	898	6
454	903	4
454	960	4
454	993	7
474	511	1
474	512	3
474	524	2
474	556	1
474	567	1
474	576	2
474	649	4
474	675	2
474	698	3
474	709	1
474	775	3
474	776	6
474	842	2
474	870	3
474	893	1
474	896	3
474	898	1
474	960	1
474	993	1
511	512	2
511	524	3
511	556	1
511	567	2
511	576	2
511	649	8
511	675	1
511	698	2
511	709	3
511	775	1
511	776	3
511	842	1
511	896	8
511	898	3
511	903	1
511	960	2
511	993	1
512	524	2
512	649	3
512	675	4
512	698	3
512	709	2
512	768	2
512	775	3
512	776	3
512	842	2
512	870	3
512	896	5
512	898	2
512	903	1
512	993	2
524	567	2
524	649	9
524	698	1
524	709	2
524	775	1
524	776	2
524	842	1
524	893	1
524	896	5
524	898	1
524	903	1
524	960	2
556	576	1
556	649	7
556	675	3
556	698	2
556	709	1
556	768	3
556	776	3
556	842	1
556	870	1
556	893	1
556	896	1
556	898	2
556	903	4
556	960	5
556	993	1
567	576	4
567	649	2
567	675	1
567	709	1
567	775	3
567	776	3
567	870	2
567	896	2
567	898	1
567	903	1
567	993	2
576	649	5
576	675	1
576	709	1
576	775	3
576	776	6
576	842	1
576	870	1
576	893	2
576	896	3
576	898	2
576	903	1
576	960	1
649	675	4
649	698	5
649	709	2
649	768	6
649	775	4
649	776	8
649	842	4
649	870	2
649	893	3
649	896	13
649	898	6
649	903	7
649	960	9
649	993	2
675	698	4
675	709	2
675	768	5
675	775	3
675	776	4
675	842	1
675	870	2
675	896	3
675	898	1
675	903	5
675	960	4
675	993	2
698	709	4
698	768	3
698	775	2
698	776	5
698	842	3
698	870	2
698	893	1
698	896	5
698	898	1
698	903	3
698	960	4
698	993	1
709	768	2
709	776	1
709	842	2
709	870	1
709	893	1
709	896	2
709	903	2
768	775	2
768	776	2
768	842	1
768	870	1
768	896	4
768	898	1
768	903	7
768	960	5
768	993	1
775	776	8
775	842	2
775	870	4
775	893	1
775	896	7
775	898	3
775	903	3
775	960	1
775	993	2
776	842	1
776	870	4
776	893	2
776	896	8
776	898	5
776	903	3
776	960	5
776	993	3
842	870	3
842	893	2
842	896	1
842	898	1
842	960	1
842	993	2
870	893	2
870	896	2
870	898	2
870	993	3
896	898	6
896	903	7
896	960	5
898	903	3
898	960	5
898	993	1
903	960	7
960	993	1
