28	73	1
28	103	1
28	280	5
28	412	4
28	425	3
28	516	2
28	566	1
28	571	2
28	811	1
28	924	8
28	940	5
28	943	10
28	969	1
28	1070	2
28	1132	1
28	1351	10
28	1601	1
28	1686	1
28	1694	1
28	1728	3
58	73	4
58	175	1
58	257	1
58	344	1
58	412	8
58	499	1
58	516	1
58	566	3
58	571	1
58	576	1
58	672	1
58	688	1
58	694	2
58	696	3
58	754	2
58	924	2
58	940	5
58	943	7
58	947	3
58	969	1
58	1070	2
58	1132	1
58	1340	2
58	1351	1
58	1601	4
58	1606	2
58	1694	1
59	73	3
59	103	1
59	175	2
59	280	1
59	344	2
59	412	1
59	516	2
59	524	3
59	573	1
59	576	1
59	672	1
59	694	1
59	811	1
59	924	3
59	940	5
59	943	4
59	947	1
59	969	2
59	1070	1
59	1132	1
59	1340	1
59	1701	1
73	103	6
73	175	5
73	257	4
73	280	5
73	344	11
73	412	10
73	499	3
73	516	6
73	524	1
73	566	5
73	571	4
73	573	1
73	576	8
73	694	2
73	696	6
73	700	3
73	754	3
73	811	8
73	924	1
73	940	19
73	943	6
73	969	4
73	1070	1
73	1132	1
73	1340	2
73	1351	1
73	1601	5
73	1606	3
73	1694	1
73	1728	1
103	175	5
103	257	1
103	280	4
103	344	6
103	412	1
103	425	1
103	499	3
103	516	12
103	566	2
103	573	1
103	576	4
103	696	2
103	700	3
103	811	12
103	924	3
103	940	11
103	943	3
103	969	4
103	1070	2
103	1601	1
103	1606	1
103	1701	1
103	1728	2
175	257	4
175	280	8
175	344	4
175	412	4
175	425	1
175	499	3
175	516	6
175	524	2
175	566	2
175	571	1
175	573	2
175	576	2
175	672	1
175	688	1
175	694	2
175	696	2
175	700	2
175	754	1
175	811	4
175	924	4
175	940	5
175	943	3
175	1132	1
175	1340	4
175	1351	2
175	1601	4
175	1606	1
175	1701	2
257	344	2
257	412	4
257	516	2
257	524	2
257	566	2
257	571	1
257	573	2
257	576	2
257	688	2
257	696	3
257	700	1
257	754	2
257	811	1
257	940	4
257	943	3
257	947	2
257	1601	6
257	1606	4
257	1701	1
280	344	5
280	412	3
280	425	2
280	499	1
280	516	9
280	524	2
280	566	2
280	571	2
280	573	3
280	576	4
280	688	1
280	696	1
280	700	1
280	754	1
280	811	5
280	924	2
280	940	9
280	943	7
280	947	2
280	1070	1
280	1132	1
280	1351	3
280	1601	1
280	1701	5
280	1728	2
344	412	8
344	499	1
344	516	7
344	524	1
344	566	1
344	571	4
344	573	3
344	576	15
344	672	1
344	688	1
344	694	1
344	696	2
344	700	6
344	754	1
344	811	11
344	924	1
344	940	12
344	943	2
344	1132	1
344	1340	3
344	1601	3
344	1606	2
344	1701	1
344	1728	1
412	425	3
412	499	4
412	516	3
412	524	4
412	566	6
412	571	6
412	573	7
412	576	7
412	672	11
412	688	10
412	694	6
412	696	6
412	700	8
412	754	7
412	811	4
412	924	10
412	940	21
412	943	23
412	947	7
412	969	4
412	1070	6
412	1132	4
412	1340	9
412	1351	14
412	1601	9
412	1606	5
412	1686	9
412	1694	5
412	1701	1
412	1728	1
425	499	1
425	516	1
425	571	1
425	573	2
425	672	1
425	811	1
425	924	2
425	940	4
425	943	6
425	1070	4
425	1351	4
425	1601	1
425	1694	1
499	516	4
499	566	3
499	573	1
499	672	1
499	694	2
499	696	3
499	700	2
499	754	1
499	811	2
499	924	1
499	940	5
499	943	1
499	969	1
499	1070	1
499	1132	2
499	1340	2
499	1351	3
499	1601	3
499	1606	2
499	1686	1
499	1694	1
516	524	3
516	566	6
516	571	1
516	573	3
516	576	5
516	672	2
516	694	1
516	696	3
516	700	4
516	811	12
516	924	5
516	940	13
516	943	5
516	969	4
516	1070	2
516	1132	2
516	1340	2
516	1351	10
516	1601	2
516	1606	1
516	1694	2
516	1701	2
516	1728	7
524	573	4
524	576	1
524	672	3
524	688	1
524	694	2
524	700	2
524	754	2
524	811	1
524	924	3
524	940	2
524	943	3
524	947	1
524	969	1
524	1132	2
524	1340	3
524	1601	2
524	1606	1
524	1701	2
524	1728	2
566	571	1
566	576	1
566	672	2
566	694	2
566	696	6
566	700	1
566	811	3
566	924	3
566	940	10
566	943	7
566	969	2
566	1070	2
566	1132	2
566	1340	2
566	1351	5
566	1601	2
566	1606	4
566	1694	1
566	1701	1
566	1728	1
571	573	1
571	576	3
571	672	1
571	688	1
571	700	1
571	754	1
571	811	2
571	940	3
571	943	2
571	969	1
571	1340	1
571	1351	4
571	1601	1
571	1686	2
571	1694	1
571	1701	1
571	1728	1
573	576	3
573	672	3
573	696	1
573	700	2
573	754	3
573	811	3
573	924	1
573	940	1
573	943	3
573	947	1
573	1340	1
573	1351	1
573	1601	2
573	1606	1
573	1701	2
573	1728	1
576	672	2
576	688	1
576	694	1
576	696	1
576	700	4
576	754	1
576	811	10
576	924	1
576	940	8
576	943	3
576	1132	1
576	1340	1
576	1601	4
576	1606	3
576	1686	1
576	1701	1
576	1728	1
672	688	4
672	694	4
672	696	2
672	700	4
672	754	1
672	811	1
672	924	5
672	940	2
672	943	9
672	947	3
672	1070	2
672	1132	2
672	1340	6
672	1351	7
672	1606	1
672	1686	3
672	1694	2
672	1701	1
672	1728	1
688	694	2
688	696	2
688	700	2
688	754	2
688	924	3
688	940	3
688	943	5
688	947	5
688	969	1
688	1070	2
688	1340	3
688	1351	1
688	1601	1
688	1606	1
688	1686	3
688	1701	2
694	696	2
694	700	3
694	924	4
694	940	6
694	943	6
694	947	1
694	1070	1
694	1132	1
694	1340	8
694	1351	2
694	1601	1
694	1606	2
694	1686	2
694	1694	1
696	700	5
696	754	1
696	811	1
696	924	2
696	940	11
696	943	4
696	947	1
696	969	1
696	1070	2
696	1132	2
696	1340	3
696	1351	1
696	1601	2
696	1606	3
696	1694	2
696	1728	2
700	811	4
700	924	3
700	940	10
700	947	1
700	969	3
700	1070	1
700	1132	1
700	1340	4
700	1351	2
700	1606	1
700	1686	1
700	1694	1
700	1701	2
700	1728	3
754	943	4
754	947	3
754	1070	1
754	1132	1
754	1601	8
754	1606	2
754	1686	1
754	1701	1
811	924	2
811	940	11
811	943	2
811	969	5
811	1340	1
811	1601	2
811	1606	1
811	1701	3
811	1728	2
924	940	8
924	943	22
924	947	2
924	969	2
924	1070	3
924	1132	3
924	1340	5
924	1351	15
924	1601	1
924	1606	1
924	1686	4
924	1694	1
924	1701	1
924	1728	6
940	943	17
940	947	4
940	969	6
940	1070	5
940	1132	2
940	1340	6
940	1351	7
940	1601	5
940	1606	3
940	1686	3
940	1694	6
940	1728	4
943	947	6
943	969	5
943	1070	8
943	1132	5
943	1340	6
943	1351	21
943	1601	7
943	1606	5
943	1686	6
943	1694	3
943	1728	1
947	1070	3
947	1340	1
947	1601	4
947	1686	1
947	1701	1
969	1070	1
969	1351	1
969	1686	1
969	1694	1
969	1701	1
969	1728	1
1070	1132	1
1070	1340	1
1070	1351	5
1070	1601	2
1070	1606	1
1070	1686	2
1070	1694	1
1070	1728	1
1132	1340	1
1132	1351	2
1132	1601	7
1340	1351	2
1340	1606	1
1340	1686	2
1340	1694	1
1340	1701	1
1340	1728	1
1351	1606	1
1351	1686	7
1351	1694	5
1351	1728	8
1601	1606	5
1601	1686	2
1601	1694	1
1601	1701	2
1686	1694	4
1694	1728	2
1701	1728	2
