16	43	1
16	57	1
16	181	1
16	260	2
16	261	3
16	340	1
16	561	2
16	603	1
16	661	3
43	49	5
43	57	6
43	101	10
43	108	6
43	137	2
43	163	2
43	172	4
43	181	2
43	260	1
43	261	2
43	270	1
43	292	1
43	300	1
43	335	1
43	340	1
43	402	3
43	445	1
43	452	1
43	470	3
43	484	5
43	490	9
43	561	8
43	661	1
43	771	3
43	841	3
49	57	2
49	101	4
49	108	2
49	137	1
49	260	1
49	261	1
49	402	2
49	470	2
49	484	3
49	490	3
49	561	4
49	771	1
49	841	1
57	101	5
57	108	3
57	172	1
57	181	2
57	261	1
57	402	2
57	445	1
57	452	1
57	470	2
57	484	2
57	490	4
57	561	5
57	661	1
57	771	1
57	841	1
101	108	7
101	137	4
101	163	2
101	172	3
101	181	3
101	260	1
101	261	1
101	292	1
101	300	3
101	335	2
101	382	2
101	402	3
101	445	1
101	452	1
101	470	4
101	484	4
101	490	7
101	561	6
101	771	1
101	841	2
108	120	4
108	137	4
108	163	5
108	172	3
108	181	3
108	260	1
108	261	1
108	270	3
108	292	1
108	300	5
108	335	2
108	382	3
108	402	3
108	445	6
108	452	6
108	470	2
108	484	2
108	490	5
108	561	3
108	771	1
108	841	1
120	163	1
120	172	1
120	270	4
120	292	1
120	335	3
120	382	1
120	402	1
120	445	4
120	452	3
137	163	4
137	172	1
137	181	1
137	260	1
137	261	1
137	292	1
137	300	3
137	382	4
137	402	3
137	445	1
137	452	2
137	484	1
137	490	1
137	561	2
137	661	1
137	771	1
137	841	1
163	172	1
163	181	1
163	270	2
163	292	3
163	300	3
163	335	1
163	340	1
163	382	6
163	402	2
163	445	1
163	452	3
163	490	1
163	561	1
163	661	1
163	771	3
163	841	2
172	181	1
172	270	2
172	335	1
172	445	1
172	484	1
172	490	1
172	561	2
172	841	1
181	260	1
181	261	1
181	300	1
181	382	1
181	445	1
181	452	1
181	470	1
181	484	2
181	490	2
181	561	2
181	661	1
260	261	4
260	340	1
260	402	2
260	484	1
260	490	1
260	561	1
260	661	4
261	402	2
261	484	1
261	490	1
261	561	1
261	661	4
270	292	1
270	335	3
270	382	1
270	402	1
270	445	2
270	452	1
292	335	1
292	382	1
292	402	1
292	445	1
292	452	2
292	484	1
292	490	1
292	561	1
292	661	1
292	771	3
292	841	3
300	335	1
300	382	3
300	402	1
300	445	1
300	452	1
300	490	1
335	382	1
335	445	1
335	490	2
340	490	1
340	561	4
340	603	4
340	771	1
382	402	2
382	445	1
382	452	2
382	561	1
382	661	1
382	771	1
382	841	1
402	445	2
402	452	3
402	484	2
402	490	2
402	561	2
402	661	2
402	771	2
402	841	2
445	452	5
445	470	1
445	490	1
445	561	2
445	661	1
445	771	1
445	841	1
452	470	1
452	490	1
452	561	2
452	661	1
452	771	2
452	841	2
470	484	1
470	490	2
470	561	3
484	490	4
484	561	3
484	841	2
490	561	4
490	771	2
490	841	2
561	603	3
561	661	2
561	771	2
561	841	2
661	771	1
661	841	1
771	841	2
